,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,442000,1,20500,4.86,425000,453500,422000,764182,338561161000,23566921976000,53318828,KSQ
1,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,134200,2,-10100,-7.0,145000,147000,133600,964658,133738286600,13124940364800,97801344,KSQ
2,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,69700,2,-4800,-6.44,74800,76300,69000,1286474,92894988300,9279742298000,133138340,KSQ
3,028300,KR7028300002,HLB,KOSDAQ,중견기업부,61500,1,1300,2.16,60200,63000,59900,681661,41928043300,8080327129500,131387433,KSQ
4,141080,KR7141080002,리가켐바이오,KOSDAQ GLOBAL,기술성장기업부,119700,2,-1000,-0.83,121700,125900,119100,822061,100998270500,4382257458600,36610338,KSQ
5,145020,KR7145020004,휴젤,KOSDAQ GLOBAL,우량기업부,272500,1,8500,3.22,269500,278500,268500,104043,28467110000,3434598992500,12604033,KSQ
6,214150,KR7214150005,클래시스,KOSDAQ GLOBAL,우량기업부,45950,1,1300,2.91,44500,47800,44500,298138,13902221250,3009985031050,65505659,KSQ
7,348370,KR7348370008,엔켐,KOSDAQ,벤처기업부,135500,2,-2500,-1.81,139400,142000,134200,251649,34803545900,2816628066500,20786923,KSQ
8,403870,KR7403870009,HPSP,KOSDAQ GLOBAL,중견기업부,32400,2,-850,-2.56,33300,34150,32400,658338,22011082300,2687066265600,82934144,KSQ
9,000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,110900,2,-5800,-4.97,117000,121500,110800,373405,43630561900,2601433644800,23457472,KSQ
10,277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,129400,1,2100,1.65,131100,132700,128000,77625,10074507300,2510341625200,19399858,KSQ
11,087010,KR7087010005,펩트론,KOSDAQ,기술성장기업부,117000,1,4900,4.37,116700,126900,115200,1491748,178790057000,2416909950000,20657350,KSQ
12,263750,KR7263750002,펄어비스,KOSDAQ GLOBAL,우량기업부,35900,1,800,2.28,35450,36550,35200,252381,9072317750,2306497994500,64247855,KSQ
13,068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,54200,3,0,0.0,53900,55000,53700,110266,5972256400,2254740975400,41600387,KSQ
14,058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,146100,2,-9400,-6.05,155000,156000,143300,197098,29008313800,2226910257000,15242370,KSQ
15,214450,KR7214450009,파마리서치,KOSDAQ GLOBAL,우량기업부,210500,2,-8500,-3.88,223000,229000,205000,216353,46546827500,2212270800000,10509600,KSQ
16,310210,KR7310210000,보로노이,KOSDAQ,기술성장기업부,111600,1,5300,4.99,105500,113600,105400,244893,27172884500,2048595667200,18356592,KSQ
17,035900,KR7035900000,JYP Ent.,KOSDAQ GLOBAL,우량기업부,57600,1,3900,7.26,59000,59900,56300,2391317,138486600300,2046671539200,35532492,KSQ
18,237690,KR7237690003,에스티팜,KOSDAQ GLOBAL,우량기업부,91300,1,600,0.66,91400,93900,90800,129371,11914025000,1837551458600,20126522,KSQ
19,041510,KR7041510009,에스엠,KOSDAQ,우량기업부,73800,1,2300,3.22,73900,75300,70600,167395,12149772900,1723497672600,23353627,KSQ
20,257720,KR7257720003,실리콘투,KOSDAQ,벤처기업부,27750,2,-8750,-23.97,37000,37100,27700,6122708,189086689600,1689232243500,60873234,KSQ
21,039030,KR7039030002,이오테크닉스,KOSDAQ GLOBAL,우량기업부,132900,2,-3600,-2.64,137700,142300,132600,105955,14503021300,1637268195000,12319550,KSQ
22,178320,KR7178320008,서진시스템,KOSDAQ,우량기업부,28800,1,350,1.23,29250,30650,26850,1533994,43902463450,1619941075200,56247954,KSQ
23,298380,KR7298380007,에이비엘바이오,KOSDAQ,기술성장기업부,33700,2,-200,-0.59,33950,36500,32750,1858223,65032667250,1619210489300,48047789,KSQ
24,007390,KR7007390008,네이처셀,KOSDAQ,중견기업부,24400,1,100,0.41,24950,24950,23500,1880310,45541109650,1570314606400,64357156,KSQ
25,357780,KR7357780006,솔브레인,KOSDAQ,우량기업부,188600,1,800,0.43,188700,191500,186000,18715,3536261200,1467037547600,7778566,KSQ
26,112040,KR7112040001,위메이드,KOSDAQ,중견기업부,42650,1,4500,11.8,39350,42700,38700,448953,18289639450,1447902799950,33948483,KSQ
27,089030,KR7089030001,테크윙,KOSDAQ,우량기업부,36000,2,-1050,-2.83,37250,37350,34750,875986,31317124350,1344731220000,37353645,KSQ
28,140860,KR7140860008,파크시스템스,KOSDAQ,우량기업부,189400,2,-19600,-9.38,210000,210000,187000,83485,16076133600,1322695544600,6983609,KSQ
29,078600,KR7078600004,대주전자재료,KOSDAQ,우량기업부,85200,2,-1800,-2.07,87900,89200,84500,137496,11802180500,1318946523600,15480593,KSQ
30,036930,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,27750,2,-900,-3.14,29250,29300,27550,453815,12807403700,1311695907750,47268321,KSQ
31,253450,KR7253450001,스튜디오드래곤,KOSDAQ GLOBAL,우량기업부,42600,1,150,0.35,42450,43200,41650,108242,4612397800,1280492014800,30058498,KSQ
32,293490,KR7293490009,카카오게임즈,KOSDAQ GLOBAL,우량기업부,15470,2,-150,-0.96,15620,16040,15380,202337,3162678800,1278951712220,82673026,KSQ
33,035760,KR7035760008,CJ ENM,KOSDAQ GLOBAL,중견기업부,57000,1,2400,4.4,55200,57200,55100,53497,3010477300,1249961778000,21929154,KSQ
34,328130,KR7328130000,루닛,KOSDAQ,기술성장기업부,42950,1,2550,6.31,41200,43750,40750,942106,40336310550,1243097555000,28942900,KSQ
35,950160,KR8840120008,코오롱티슈진,KOSDAQ,외국기업(소속부없음),15440,1,600,4.04,15330,15880,14910,138146,2144159130,1226961370400,79466410,KSQ
36,005290,KR7005290002,동진쎄미켐,KOSDAQ,우량기업부,22650,2,-450,-1.95,23300,23600,22650,422890,9745312600,1164538289100,51414494,KSQ
37,195940,KR7195940002,HK이노엔,KOSDAQ GLOBAL,중견기업부,41050,2,-400,-0.97,41950,42300,40950,167417,6938140250,1162942025550,28329891,KSQ
38,096530,KR7096530001,씨젠,KOSDAQ,우량기업부,21900,1,250,1.15,21600,22250,21350,363119,7887296350,1143749268600,52225994,KSQ
39,065350,KR7065350001,신성델타테크,KOSDAQ,우량기업부,41350,1,2800,7.26,38700,42650,38700,483888,19797382700,1136461249800,27483948,KSQ
40,067160,KR7067160002,SOOP,KOSDAQ GLOBAL,우량기업부,98100,1,1800,1.87,97000,98700,95400,79397,7732275100,1127636642700,11494767,KSQ
41,240810,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,22650,2,-150,-0.66,22800,23150,22200,277486,6276653250,1111750357650,49083901,KSQ
42,137400,KR7137400008,피엔티,KOSDAQ GLOBAL,우량기업부,44050,2,-1150,-2.54,45300,46350,43600,309664,13887070850,1045882938300,23743086,KSQ
43,018290,KR7018290007,브이티,KOSDAQ,우량기업부,29000,2,-1700,-5.54,30850,31700,28700,805547,24212903700,1038142203000,35798007,KSQ
44,095340,KR7095340006,ISC,KOSDAQ,우량기업부,47100,2,-850,-1.77,48000,48800,46700,83965,3982493400,998381431800,21197058,KSQ
45,214370,KR7214370009,케어젠,KOSDAQ,벤처기업부,18410,2,-290,-1.55,18900,19400,18260,91856,1728806580,988893150000,53715000,KSQ
46,204270,KR7204270003,제이앤티씨,KOSDAQ,중견기업부,16820,1,1500,9.79,15500,17840,15500,1655533,28037633790,973011198120,57848466,KSQ
47,067630,KR7067630004,HLB생명과학,KOSDAQ,중견기업부,8140,1,10,0.12,8130,8340,8050,371643,3041554070,966049265940,118679271,KSQ
48,140410,KR7140410002,메지온,KOSDAQ,중견기업부,31300,2,-400,-1.26,31700,32350,31050,95722,3026181700,937852448100,29963337,KSQ
49,039200,KR7039200001,오스코텍,KOSDAQ,벤처기업부,24000,2,-400,-1.64,25100,25750,23950,264475,6548248600,917944224000,38247676,KSQ
50,376300,KR7376300000,디어유,KOSDAQ,기술성장기업부,38450,2,-150,-0.39,38550,39550,36250,470905,17834479450,912741710700,23738406,KSQ
51,086900,KR7086900008,메디톡스,KOSDAQ,우량기업부,123900,2,-3800,-2.98,128700,130700,123700,88718,11250105300,904283778300,7298497,KSQ
52,078130,KR7078130002,국일제지,KOSDAQ,관리종목(소속부없음),800,0,0,0.0,0,0,0,0,0,901924696800,1127405871,KSQ
53,051980,KR7051980001,중앙첨단소재,KOSDAQ,중견기업부,8720,2,-450,-4.91,9310,9330,8710,1819569,16324237100,871659946160,99961003,KSQ
54,041190,KR7041190000,우리기술투자,KOSDAQ,우량기업부,10320,1,170,1.67,10400,11090,10250,7649350,81086225470,866880000000,84000000,KSQ
55,085660,KR7085660009,차바이오텍,KOSDAQ,중견기업부,15330,2,-220,-1.41,15550,15760,15170,188194,2910600090,863300411190,56314443,KSQ
56,225570,KR7225570001,넥슨게임즈,KOSDAQ,우량기업부,13090,2,-430,-3.18,13530,13810,13090,759418,10116819270,862109677660,65860174,KSQ
57,440110,KR7440110005,파두,KOSDAQ,기술성장기업부,17470,2,-280,-1.58,18190,18190,17320,146740,2577603800,862095514120,49347196,KSQ
58,417200,KR7417200003,LS머트리얼즈,KOSDAQ,중견기업부,12580,2,-120,-0.94,12690,13000,12490,232741,2967655380,851070450220,67652659,KSQ
59,121600,KR7121600001,나노신소재,KOSDAQ,우량기업부,69600,2,-500,-0.71,70100,72200,68100,88581,6198353900,848847028800,12196078,KSQ
60,122870,KR7122870009,와이지엔터테인먼트,KOSDAQ GLOBAL,우량기업부,44650,1,800,1.82,45250,45600,43550,298266,13235091350,834555337850,18691049,KSQ
61,064760,KR7064760002,티씨케이,KOSDAQ GLOBAL,우량기업부,71400,2,-2900,-3.9,74300,75300,71100,39948,2903043400,833595000000,11675000,KSQ
62,036830,KR7036830008,솔브레인홀딩스,KOSDAQ GLOBAL,우량기업부,38950,2,-900,-2.26,39650,40600,38400,77075,3031328600,816549981200,20964056,KSQ
63,084370,KR7084370006,유진테크,KOSDAQ,우량기업부,35450,2,-50,-0.14,36300,37700,35100,160691,5818945350,812373688900,22916042,KSQ
64,058970,KR7058970005,엠로,KOSDAQ,기술성장기업부,67700,1,6900,11.35,60800,69300,60700,561096,36930606500,802496708600,11853718,KSQ
65,232140,KR7232140004,와이씨,KOSDAQ,우량기업부,9700,2,-410,-4.06,10110,10280,9610,822656,8203119850,795839895000,82045350,KSQ
66,281740,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,11920,2,-370,-3.01,12240,12310,11860,319669,3852020430,783508132160,65730548,KSQ
67,031980,KR7031980006,피에스케이홀딩스,KOSDAQ,우량기업부,35850,2,-1750,-4.65,38100,38600,35800,238156,8861789650,773011860750,21562395,KSQ
68,115450,KR7115450009,HLB테라퓨틱스,KOSDAQ,중견기업부,9550,1,230,2.47,9500,9810,9360,737768,7073509230,765336360150,80139933,KSQ
69,042000,KR7042000000,카페24,KOSDAQ,기술성장기업부,30150,1,2800,10.24,27400,30800,27350,1214334,36358478450,731229578100,24253054,KSQ
70,086450,KR7086450004,동국제약,KOSDAQ GLOBAL,우량기업부,16380,2,-830,-4.82,17430,17450,16240,252730,4230762560,728254800000,44460000,KSQ
71,033100,KR7033100009,제룡전기,KOSDAQ,우량기업부,44300,2,-450,-1.01,46550,47600,44200,841651,38851669500,711564718700,16062409,KSQ
72,053800,KR7053800009,안랩,KOSDAQ,우량기업부,62700,2,-300,-0.48,63100,63200,62400,29304,1838744800,697631926200,11126506,KSQ
73,323280,KR7323280008,태성,KOSDAQ,중견기업부,26600,2,-2000,-6.99,28450,28900,26350,723687,19894594600,686831418000,25820730,KSQ
74,056190,KR7056190002,에스에프에이,KOSDAQ GLOBAL,우량기업부,19000,2,-160,-0.84,19160,19480,18730,55470,1057973210,682266440000,35908760,KSQ
75,048410,KR7048410005,현대바이오,KOSDAQ,중견기업부,16720,1,1520,10.0,15420,16920,15100,406486,6579785180,665817285760,39821608,KSQ
76,317330,KR7317330009,덕산테코피아,KOSDAQ,우량기업부,32150,2,-1100,-3.31,33650,34350,32100,266255,8835919900,658322175600,20476584,KSQ
77,222080,KR7222080004,씨아이에스,KOSDAQ,우량기업부,9050,2,-470,-4.94,9350,9500,9020,1096065,10105099140,649150409350,71729327,KSQ
78,348210,KR7348210006,넥스틴,KOSDAQ GLOBAL,우량기업부,60100,1,500,0.84,60800,61500,59500,38621,2331023300,627278725000,10437250,KSQ
79,003380,KR7003380003,하림지주,KOSDAQ GLOBAL,우량기업부,5600,1,160,2.94,5510,5660,5500,147265,821263060,627231477600,112005621,KSQ
80,067310,KR7067310003,하나마이크론,KOSDAQ,우량기업부,9360,2,-120,-1.27,9480,9700,9250,459185,4326064720,615372226560,65744896,KSQ
81,241710,KR7241710003,코스메카코리아,KOSDAQ,우량기업부,57100,2,-5300,-8.49,62300,62700,56100,237724,14079884400,609828000000,10680000,KSQ
82,383310,KR7383310000,에코프로에이치엔,KOSDAQ GLOBAL,중견기업부,38950,2,-800,-2.01,39750,40450,38800,92524,3676031100,596127101400,15304932,KSQ
83,053030,KR7053030003,바이넥스,KOSDAQ,우량기업부,17790,2,-270,-1.5,18100,18600,17710,656662,11871645830,581451704520,32684188,KSQ
84,009520,KR7009520008,포스코엠텍,KOSDAQ GLOBAL,우량기업부,13720,2,-280,-2.0,14120,14270,13500,173065,2398283460,571337885160,41642703,KSQ
85,098460,KR7098460009,고영,KOSDAQ,우량기업부,8220,1,20,0.24,8210,8420,8150,397222,3285282900,564342086100,68654755,KSQ
86,030520,KR7030520001,한글과컴퓨터,KOSDAQ,우량기업부,23200,1,3680,18.85,19890,23750,19890,8685820,193400631200,560970060800,24179744,KSQ
87,365340,KR7365340009,성일하이텍,KOSDAQ,기술성장기업부,46150,2,-1250,-2.64,47300,47950,46100,31691,1487591950,560138564050,12137347,KSQ
88,213420,KR7213420003,덕산네오룩스,KOSDAQ GLOBAL,우량기업부,22350,2,-600,-2.61,22900,23500,22300,120382,2737006700,554976850650,24831179,KSQ
89,047920,KR7047920004,HLB제약,KOSDAQ,기술성장기업부,17190,3,0,0.0,17190,17620,17050,133570,2312405230,546641896860,31799994,KSQ
90,314930,KR7314930009,바이오다인,KOSDAQ,기술성장기업부,18350,2,-520,-2.76,18700,19260,18090,596369,11119208530,546171290050,29764103,KSQ
91,099320,KR7099320004,쎄트렉아이,KOSDAQ,우량기업부,49750,1,4550,10.07,45650,49950,45350,215774,10332492550,544826080500,10951278,KSQ
92,206650,KR7206650004,유바이오로직스,KOSDAQ,기술성장기업부,14880,1,30,0.2,15250,15600,14800,362789,5496439260,543630488160,36534307,KSQ
93,189300,KR7189300007,인텔리안테크,KOSDAQ,우량기업부,50300,1,300,0.6,50500,51600,49900,58669,2965830600,539886700200,10733334,KSQ
94,099190,KR7099190001,아이센스,KOSDAQ,우량기업부,19500,1,400,2.09,19290,19550,18700,140275,2702644110,538926823500,27637273,KSQ
95,101360,KR7101360006,에코앤드림,KOSDAQ,벤처기업부,30250,2,-900,-2.89,32200,32350,30000,326628,10152267700,538029948500,17786114,KSQ
96,078340,KR7078340007,컴투스,KOSDAQ GLOBAL,우량기업부,41650,1,950,2.33,41250,41900,40200,70192,2882223500,530527495750,12737755,KSQ
97,460930,KR7460930001,현대힘스,KOSDAQ,중견기업부,14750,1,300,2.08,14340,14950,13930,1214874,17669368870,521808847250,35376871,KSQ
98,064550,KR7064550007,바이오니아,KOSDAQ,우량기업부,20150,1,100,0.5,20100,20750,20050,113046,2299008250,520077363650,25810291,KSQ
99,340570,KR7340570001,티앤엘,KOSDAQ,우량기업부,63100,2,-3700,-5.54,68000,69500,61400,112842,7434328900,512876800000,8128000,KSQ
100,319660,KR7319660007,피에스케이,KOSDAQ GLOBAL,우량기업부,17690,1,90,0.51,18140,18200,17400,206946,3658062380,512421170660,28966714,KSQ
101,069080,KR7069080000,웹젠,KOSDAQ GLOBAL,우량기업부,14550,1,20,0.14,14660,14790,14380,78373,1141126070,508535362200,34950884,KSQ
102,025320,KR7025320003,시노펙스,KOSDAQ,우량기업부,6020,1,170,2.91,5800,6290,5800,1405999,8576213180,504583974720,83817936,KSQ
103,036540,KR7036540003,SFA반도체,KOSDAQ,우량기업부,3065,2,-90,-2.85,3165,3200,3060,676566,2109466890,504070828695,164460303,KSQ
104,074600,KR7074600008,원익QnC,KOSDAQ GLOBAL,우량기업부,19130,2,-670,-3.38,19890,20150,19000,422663,8186251190,502889440000,26288000,KSQ
105,082270,KR7082270000,젬백스,KOSDAQ,벤처기업부,12520,1,200,1.62,12870,13070,12350,316997,4038099060,500727058480,39994174,KSQ
106,083650,KR7083650002,비에이치아이,KOSDAQ,중견기업부,15930,1,1710,12.03,14520,16130,13950,7170993,108593027810,492943893750,30944375,KSQ
107,358570,KR7358570000,지아이이노베이션,KOSDAQ,기술성장기업부,11130,2,-300,-2.62,11430,12150,11050,462931,5422391750,492144236430,44217811,KSQ
108,082920,KR7082920000,비츠로셀,KOSDAQ,우량기업부,21150,1,250,1.2,20750,21250,20450,215442,4491822950,483747304950,22872213,KSQ
109,335890,KR7335890000,비올,KOSDAQ,중견기업부,8210,2,-320,-3.75,8550,8640,8200,800187,6671652050,479621016250,58419125,KSQ
110,166090,KR7166090001,하나머티리얼즈,KOSDAQ GLOBAL,우량기업부,24200,2,-950,-3.78,25400,25700,23850,163501,3985114250,478619710800,19777674,KSQ
111,418550,KR7418550000,제이오,KOSDAQ,기술성장기업부,14710,2,-940,-6.01,15700,15820,14710,367100,5580361750,467370135830,31772273,KSQ
112,183300,KR7183300003,코미코,KOSDAQ GLOBAL,우량기업부,43450,2,-200,-0.46,44150,44500,42400,107620,4653234300,454516719800,10460684,KSQ
113,251970,KR7251970000,펌텍코리아,KOSDAQ,우량기업부,36600,2,-1100,-2.92,37700,38300,36250,152795,5669018850,453840000000,12400000,KSQ
114,131290,KR7131290009,티에스이,KOSDAQ,우량기업부,41000,2,-700,-1.68,41300,43100,40650,70031,2921373950,453518589000,11061429,KSQ
115,334970,KR7334970001,프레스티지바이오로직스,KOSDAQ,기술성장기업부,5840,1,230,4.1,5700,6020,5700,193290,1137573140,452119000080,77417637,KSQ
116,025900,KR7025900002,동화기업,KOSDAQ,중견기업부,8910,2,-290,-3.15,9130,9380,8900,108863,984609280,450465409350,50557285,KSQ
117,215200,KR7215200007,메가스터디교육,KOSDAQ GLOBAL,우량기업부,39200,2,-800,-2.0,40050,40400,38700,86658,3415546350,449308636000,11461955,KSQ
118,393890,KR7393890009,더블유씨피,KOSDAQ GLOBAL,기술성장기업부,13300,2,-390,-2.85,13690,13940,13200,178210,2408932930,448163689400,33696518,KSQ
119,029960,KR7029960002,코엔텍,KOSDAQ,우량기업부,8950,1,10,0.11,8950,8960,8950,691037,6185183950,447500000000,50000000,KSQ
120,014620,KR7014620009,성광벤드,KOSDAQ,우량기업부,15610,1,210,1.36,15410,15950,15300,330006,5150946510,446446000000,28600000,KSQ
121,058610,KR7058610007,에스피지,KOSDAQ,우량기업부,20100,2,-500,-2.43,20650,20900,20000,191733,3896884000,445764936000,22177360,KSQ
122,095660,KR7095660007,네오위즈,KOSDAQ,우량기업부,19950,1,790,4.12,19200,19960,19200,79628,1554820440,436043479200,21856816,KSQ
123,046890,KR7046890000,서울반도체,KOSDAQ GLOBAL,우량기업부,7460,2,-300,-3.87,7720,7790,7440,490713,3718463300,434958284000,58305400,KSQ
124,336570,KR7336570007,원텍,KOSDAQ,기술성장기업부,4850,2,-410,-7.79,5320,5340,4775,1591427,7850317755,433302002150,89340619,KSQ
125,015750,KR7015750003,성우하이텍,KOSDAQ,우량기업부,5400,2,-90,-1.64,5490,5570,5370,348375,1903762230,432000000000,80000000,KSQ
126,166480,KR7166480004,코아스템켐온,KOSDAQ,벤처기업부,13100,2,-860,-6.16,14060,14370,13040,170837,2314923530,430601925600,32870376,KSQ
127,025980,KR7025980004,아난티,KOSDAQ,우량기업부,4825,2,-185,-3.69,5070,5070,4760,1085758,5324084580,427637231350,88629478,KSQ
128,397030,KR7397030008,에이프릴바이오,KOSDAQ,기술성장기업부,18900,1,600,3.28,18540,19700,18540,505712,9708768540,424032764400,22435596,KSQ
129,084110,KR7084110006,휴온스글로벌,KOSDAQ,중견기업부,33550,2,-7250,-17.77,40950,40950,33350,249173,9074267550,423451056600,12621492,KSQ
130,171090,KR7171090004,선익시스템,KOSDAQ,중견기업부,44600,2,-2200,-4.7,46800,47100,44600,43664,1986466200,423450463000,9494405,KSQ
131,144510,KR7144510005,지씨셀,KOSDAQ,우량기업부,26400,2,-1250,-4.52,27800,28050,26400,129587,3503065000,417129081600,15800344,KSQ
132,272290,KR7272290008,이녹스첨단소재,KOSDAQ GLOBAL,우량기업부,20600,2,-650,-3.06,21250,21600,20550,172178,3599081150,416689754800,20227658,KSQ
133,253590,KR7253590004,네오셈,KOSDAQ,우량기업부,9450,1,80,0.85,9370,9940,9360,980417,9418731800,414563599800,43869164,KSQ
134,131970,KR7131970006,두산테스나,KOSDAQ GLOBAL,우량기업부,24300,2,-1000,-3.95,25350,25950,24200,95905,2391391200,413259553800,17006566,KSQ
135,027360,KR7027360007,아주IB투자,KOSDAQ,우량기업부,3415,4,785,29.85,3125,3415,2785,34710392,107418382245,413028561490,120945406,KSQ
136,101490,KR7101490001,에스앤에스텍,KOSDAQ,우량기업부,19250,2,-1100,-5.41,20000,20250,19010,298097,5828021830,412940354750,21451447,KSQ
137,060370,KR7060370004,LS마린솔루션,KOSDAQ,중견기업부,12640,2,-20,-0.16,12670,13060,12480,137790,1760743410,412934314560,32668854,KSQ
138,091120,KR7091120006,이엠텍,KOSDAQ,우량기업부,24100,1,200,0.84,23950,25100,23750,184068,4508142100,412903757600,17132936,KSQ
