,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,64900,2,-1300,-1.96,65100,65500,64200,35619516,2312855257712,385647952730000,5969782550,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,157200,1,1700,1.09,156800,158700,154300,3177272,497978034000,114005170359000,728002365,STK
2,373220,KR7373220003,LG에너지솔루션,KOSPI,,399000,1,19500,5.14,380500,402500,380500,363832,143200277500,93249000000000,234000000,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,981000,2,-15000,-1.51,1002000,1014000,970000,111621,110658427000,69892868000000,71174000,STK
4,005380,KR7005380001,현대차,KOSPI,,223500,2,-7500,-3.25,229500,230500,221500,775016,173794807000,46804518688500,209416191,STK
5,005935,KR7005931001,삼성전자우,KOSPI,,53000,2,-2000,-3.64,54900,55100,53000,2339529,125715345500,43859861110000,822886700,STK
6,068270,KR7068270008,셀트리온,KOSPI,,190700,2,-5100,-2.6,196900,196900,188700,580404,111483456400,41364238814000,217021190,STK
7,000270,KR7000270009,기아,KOSPI,,96200,2,-4000,-3.99,100500,100500,95800,1780186,173085879200,38546351398800,399858417,STK
8,105560,KR7105560007,KB금융,KOSPI,,77900,2,-5000,-6.03,84000,84000,76500,2275109,178016342900,30616511309400,393528423,STK
9,005490,KR7005490008,POSCO홀딩스,KOSPI,,342000,1,11000,3.32,331000,342000,331000,268554,90920492000,28174912557000,82624377,STK
10,055550,KR7055550008,신한지주,KOSPI,,53100,2,-3500,-6.18,57600,57600,52900,1906158,102377642000,27048779663400,509393214,STK
11,028260,KR7028260008,삼성물산,KOSPI,,147400,2,-1100,-0.74,148500,149700,145400,324414,47601957592,26080928496900,177784107,STK
12,006400,KR7006400006,삼성SDI,KOSPI,,366000,1,33000,9.91,333000,367500,332500,699594,248787868500,25167817980000,68764530,STK
13,035420,KR7035420009,NAVER,KOSPI,,156400,2,-2600,-1.64,157200,160300,155900,421252,66521041600,25162775502000,160784508,STK
14,051910,KR7051910008,LG화학,KOSPI,,315500,1,9000,2.94,307000,318500,307000,256057,80330433500,22271884216500,70592343,STK
15,012330,KR7012330007,현대모비스,KOSPI,,208500,2,-3000,-1.42,211500,212500,207000,101555,21136130500,19389477099000,92995094,STK
16,032830,KR7032830002,삼성생명,KOSPI,,93500,2,-3700,-3.81,96900,97800,91900,188839,17664253000,18720000000000,200000000,STK
17,003670,KR7003670007,포스코퓨처엠,KOSPI,,219500,1,18000,8.93,202500,220000,202000,644555,137431169000,16925713570000,77463220,STK
18,138040,KR7138040001,메리츠금융지주,KOSPI,,88200,2,-1000,-1.12,89000,89700,86600,242632,21362651500,16783370032000,190720114,STK
19,066570,KR7066570003,LG전자,KOSPI,,102100,2,-100,-0.1,103300,104500,101300,326975,33384964200,16692077028000,163647814,STK
20,086790,KR7086790003,하나금융지주,KOSPI,,57500,2,-4000,-6.5,61500,61500,57400,1655720,96953965600,16688695128000,287240880,STK
21,000810,KR7000810002,삼성화재,KOSPI,,343000,2,-4000,-1.15,350000,351000,337000,80436,27476686000,16202194254000,47374837,STK
22,329180,KR7329180004,HD현대중공업,KOSPI,,180400,1,1400,0.78,181000,182300,177500,112350,20168624300,16005792814800,88773116,STK
23,259960,KR7259960003,크래프톤,KOSPI,,325000,1,4500,1.4,323000,332000,320500,76898,25067716000,15469769106000,47894022,STK
24,035720,KR7035720002,카카오,KOSPI,,34450,1,400,1.17,34100,35100,34100,970253,33553556950,15233944807050,443491843,STK
25,012450,KR7012450003,한화에어로스페이스,KOSPI,,290000,0,0,0.0,0,0,0,0,0,14682700000000,50630000,STK
26,033780,KR7033780008,KT&G,KOSPI,,110200,2,-800,-0.72,112000,113300,109700,400977,44558208800,14361539169400,130322497,STK
27,015760,KR7015760002,한국전력,KOSPI,,21750,1,150,0.69,21900,22250,21600,1679403,36665121900,13962718674750,641964077,STK
28,003550,KR7003550001,LG,KOSPI,,82500,2,-700,-0.84,84000,84000,82400,58832,4872753000,12993062021800,157300993,STK
29,017670,KR7017670001,SK텔레콤,KOSPI,,57700,1,1000,1.76,57200,58700,57100,579674,33571227052,12414865063400,214790053,STK
30,009540,KR7009540006,HD한국조선해양,KOSPI,,174400,1,1300,0.75,177000,179200,172000,261833,45705091800,12293290249200,70773116,STK
31,011200,KR7011200003,HMM,KOSPI,,16490,2,-40,-0.24,16860,16980,16330,880550,14565979250,12291738129360,749039496,STK
32,018260,KR7018260000,삼성에스디에스,KOSPI,,156900,2,-1600,-1.01,160000,163600,156700,152257,24384996800,12225692400000,77377800,STK
33,010130,KR7010130003,고려아연,KOSPI,,548000,1,13000,2.43,540000,555000,537000,24798,13528887000,11345399084000,20703283,STK
34,316140,KR7316140003,우리금융지주,KOSPI,,14920,2,-680,-4.36,15510,15570,14810,3422655,51432204230,11094317024940,742591501,STK
35,024110,KR7024110009,기업은행,KOSPI,,13440,2,-290,-2.11,13720,13750,13330,1469396,19770124340,10701455161980,797425869,STK
36,096770,KR7096770003,SK이노베이션,KOSPI,,110900,1,1200,1.09,109800,111300,109100,397936,44060435000,10588356254000,95735590,STK
37,034020,KR7034020008,두산에너빌리티,KOSPI,,16370,2,-190,-1.15,16700,16830,16260,2010578,33121241440,10460363514180,640561146,STK
38,034730,KR7034730002,SK,KOSPI,,144000,1,2700,1.91,141600,145000,140500,141067,20125841700,10418638421100,72502703,STK
39,030200,KR7030200000,KT,KOSPI,,41250,1,150,0.36,41400,41900,40950,674506,27886107550,10370692337750,252021685,STK
40,267260,KR7267260008,HD현대일렉트릭,KOSPI,,278000,1,22500,8.81,259500,280500,258500,694321,189575299500,9967032827500,36047135,STK
41,402340,KR7402340004,SK스퀘어,KOSPI,,72500,1,900,1.26,71600,73800,70800,159479,11551966400,9769372100000,134749960,STK
42,000100,KR7000100008,유한양행,KOSPI,,120200,2,-300,-0.25,122600,129500,118500,5478312,680614090500,9657171305600,80209064,STK
43,323410,KR7323410001,카카오뱅크,KOSPI,,20100,3,0,0.0,20100,20300,19870,393638,7893509010,9539272740000,476963637,STK
44,009150,KR7009150004,삼성전기,KOSPI,,126400,2,-2500,-1.94,129500,129700,126000,399549,50757085100,9426344435200,74693696,STK
45,042700,KR7042700005,한미반도체,KOSPI,,96300,2,-100,-0.1,96000,97800,95200,542483,52293090600,9301689500600,96993634,STK
46,042660,KR7042660001,한화오션,KOSPI,,29050,2,-650,-2.19,29900,30450,28650,1293156,37970187450,8931950435100,306413394,STK
47,047050,KR7047050000,포스코인터내셔널,KOSPI,,50900,1,700,1.39,50300,51600,49850,563466,28533743200,8919285351600,175922788,STK
48,010140,KR7010140002,삼성중공업,KOSPI,,9810,2,-160,-1.6,10090,10140,9720,3459455,34281695160,8632800000000,880000000,STK
49,086280,KR7086280005,현대글로비스,KOSPI,,111100,3,0,0.0,113000,114900,110300,189406,21167429500,8325000000000,75000000,STK
50,090430,KR7090430000,아모레퍼시픽,KOSPI,,141500,1,2900,2.09,138900,144800,137900,299831,42577125900,8265026846700,58492759,STK
51,003490,KR7003490000,대한항공,KOSPI,,21900,3,0,0.0,22250,22550,21750,1250649,27577048500,8045621442850,368220661,STK
52,326030,KR7326030004,SK바이오팜,KOSPI,,99800,2,-4200,-4.04,104900,106600,98500,416937,42347280300,7815662350000,78313250,STK
53,005830,KR7005830005,DB손해보험,KOSPI,,109100,2,-5500,-4.8,114200,115700,107800,208982,22972393100,7703040000000,70800000,STK
54,352820,KR7352820005,하이브,KOSPI,,173900,1,7900,4.76,166500,175900,166500,143536,24826645300,7205812781000,41652097,STK
55,010950,KR7010950004,S-Oil,KOSPI,,57400,2,-1100,-1.88,58200,58300,57000,262301,15078445100,6462252260800,112582792,STK
56,450080,KR7450080007,에코프로머티,KOSPI,,93300,1,1200,1.3,92400,95100,91300,628777,58662889300,6423565614000,69070598,STK
57,267250,KR7267250009,HD현대,KOSPI,,77300,2,-1900,-2.4,79200,79400,76300,94311,7298964100,6082467545000,78993085,STK
58,005387,KR7005382007,현대차2우B,KOSPI,,166200,2,-4100,-2.41,168900,169500,163400,155296,25727094100,5943210784200,35759391,STK
59,051900,KR7051900009,LG생활건강,KOSPI,,356500,1,10500,3.03,348500,361000,348000,74163,26483109000,5560078132000,15618197,STK
60,011070,KR7011070000,LG이노텍,KOSPI,,222500,2,-1000,-0.45,225500,226000,221000,114446,25507817000,5265931307500,23667107,STK
61,064350,KR7064350002,현대로템,KOSPI,,48200,2,-1450,-2.92,49750,50000,48000,1310297,63906844900,5255201407950,109142293,STK
