,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,60550,2,-850,-1.38,61400,61400,60200,14845190,900392615000,358434076177100,5919637922,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,281750,2,-250,-0.09,282500,284000,277500,2213665,621515592500,205114666338750,728002365,STK
2,207940,KR7207940008,삼성바이오로직스,KOSPI,,1015000,1,2000,0.2,1017000,1025000,1008000,42410,42992585000,72241610000000,71174000,STK
3,373220,KR7373220003,LG에너지솔루션,KOSPI,,305500,2,-1500,-0.49,310000,316000,302000,223686,68859744000,71487000000000,234000000,STK
4,105560,KR7105560007,KB금융,KOSPI,,118600,2,-3400,-2.79,119600,120000,116500,1750096,206632307250,45241405415800,381462103,STK
5,005380,KR7005380001,현대차,KOSPI,,208500,2,-2500,-1.18,208500,209000,205500,460014,95312070750,42691994211000,204757766,STK
6,034020,KR7034020008,두산에너빌리티,KOSPI,,64700,2,-1900,-2.85,67100,67100,64100,6463681,421484428300,41444306146200,640561146,STK
7,005935,KR7005931001,삼성전자우,KOSPI,,50600,2,-900,-1.75,51400,51400,50200,1258794,63615358600,41288317998400,815974664,STK
8,035420,KR7035420009,NAVER,KOSPI,,254000,2,-4000,-1.55,258500,258500,251000,846896,214668223000,40243000032000,158437008,STK
9,012450,KR7012450003,한화에어로스페이스,KOSPI,,847000,1,32000,3.93,842000,858000,838000,245209,208144889500,40059882247000,47296201,STK
10,000270,KR7000270009,기아,KOSPI,,99700,1,600,0.61,98300,99700,97400,700054,69241216350,39647961410400,397672632,STK
11,068270,KR7068270008,셀트리온,KOSPI,,175850,1,350,0.2,174200,176300,172800,368493,64342459050,39113604714300,222425958,STK
12,329180,KR7329180004,HD현대중공업,KOSPI,,394500,1,5000,1.28,394000,403000,391500,168752,66884596750,35020994262000,88773116,STK
13,055550,KR7055550008,신한지주,KOSPI,,70100,2,-1000,-1.41,70800,71200,69000,2776540,194642298200,34758528756500,495842065,STK
14,028260,KR7028260008,삼성물산,KOSPI,,170500,1,3900,2.34,164900,170800,164900,420081,71009302200,28981000752000,169976544,STK
15,012330,KR7012330007,현대모비스,KOSPI,,309000,1,4000,1.31,304500,310500,300500,293735,90429976500,28364684046000,91795094,STK
16,086790,KR7086790003,하나금융지주,KOSPI,,94300,2,-200,-0.21,94500,95700,93100,1168073,110216514050,26849462732700,284723889,STK
17,035720,KR7035720002,카카오,KOSPI,,60600,2,-200,-0.33,60700,61000,59500,2000971,120218422950,26771049960600,441766501,STK
18,032830,KR7032830002,삼성생명,KOSPI,,132400,1,2000,1.53,128200,134500,128100,282275,37236761300,26480000000000,200000000,STK
